Dataset Title,API Field Name,Description,Data Type
Master List in Colorado,additionaldebtorid,"FEIN associated with additional debtor, if applicable",Plain Text
Master List in Colorado,securedparty,Secured party listed on the effective financing statement,Plain Text
Master List in Colorado,assignee,Assignee listed on the effective financing statement,Plain Text
Master List in Colorado,additionalfarmproduct,Additional farm products associated with the effective financing statement,Plain Text
Master List in Colorado,recordidverbatim,Full record id field,Plain Text
Master List in Colorado,recordid,Unique id for record,Plain Text
Master List in Colorado,recordiddate,Date record was filed,Date & Time
Master List in Colorado,recordcountyfilingid,Filing id associated with the county where the record was filed,Plain Text
Master List in Colorado,recordcountyfiling,County where record was filed,Plain Text
Master List in Colorado,amendmentidverbatim,Full amendment id field,Plain Text
Master List in Colorado,amendmentid,Full amendment id fields,Plain Text
Sign Locations in Colorado,objectid,"A Unique Idenification Number that Enables ESRI Mapping Applications to Spatiailly Project Tabluar Data for GIS record management and analysis, reporting, layer themes, mapping visualization and Editing.",Number
Sign Locations in Colorado,region,A Domained Value Element (Region: 1-6) used to identify the Engineering Region number in which the Road Segment is located.,Number
Sign Locations in Colorado,signid,Unique identifier for the sign,Number
Sign Locations in Colorado,routeid,Route identifier where the sign is located,Number
Sign Locations in Colorado,routenumber,Corresponding route number,Plain Text
Sign Locations in Colorado,roadtypeid,,Number
Sign Locations in Colorado,signalignmentid,,Number
Sign Locations in Colorado,signpositionid,,Number
Sign Locations in Colorado,signcountyid,,Number
Sign Locations in Colorado,signdirectionid,,Number
Sign Locations in Colorado,signmilepost,,Number
Sign Locations in Colorado,signlongmile,,Number
Sign Locations in Colorado,signtotalpnls,,Number
Sign Locations in Colorado,signnumposts,,Number
Sign Locations in Colorado,signdatecreated,Date sign was erected,Date & Time
Sign Locations in Colorado,signlocationdateupdated,Date sign location was last updated,Date & Time
Sign Locations in Colorado,signlocationvalidatedate,Date sign location was validated,Date & Time
Sign Locations in Colorado,signlocationinactive,,Number
Sign Locations in Colorado,signlocationinactivedate,,Date & Time
Sign Locations in Colorado,signownerid,"Owner of sign (Private, County, FEDS, City, CDOT, or Other)",Plain Text
Sign Locations in Colorado,signlocationguid,Globally Unique Identifier for sign location. Allows to link to other datasets,Plain Text
Sign Locations in Colorado,roadtypedesc,"Type of road where the sign is located (2 Lane, 4 Lane, Left or Right Frontage, Managed Lane, Passing Lane, On or Off Ramp, Rest Area, Scenic Area, and Slow Vehicle Turn Out)",Plain Text
Sign Locations in Colorado,alignmentdesc,Alighnment of sign. Either Approach or Main.,Plain Text
Sign Locations in Colorado,positiondesc,"Position of the sign in relation to the road (left, right, or overhead)",Plain Text
Sign Locations in Colorado,location,Latitude and longitude where the sign is located,Location
Sign Locations in Colorado,signlatitude,Latitude where the sign is located,Number
Sign Locations in Colorado,signlongitude,Longitude where the sign is located,Number
Expenses for Lobbyists in Colorado,lobbyistlastname,Last name of lobbyist,Plain Text
Expenses for Lobbyists in Colorado,lobbyistfirstname,First name of lobbyist,Plain Text
Expenses for Lobbyists in Colorado,lobbyistaddress1,First line of lobbyist address,Plain Text
Expenses for Lobbyists in Colorado,lobbyistaddress2,Second line of lobbyist address,Plain Text
Expenses for Lobbyists in Colorado,lobbyistcity,City of lobbyist address,Plain Text
Expenses for Lobbyists in Colorado,lobbyiststate,Two-digit state abbreviation of lobbyist address,Plain Text
Expenses for Lobbyists in Colorado,lobbyistzip,Zipcode of lobbyist address,Plain Text
Expenses for Lobbyists in Colorado,primarylobbyistid,Unique identifier for lobbyist,Number
Expenses for Lobbyists in Colorado,annuallobbyistregistrationid,Registration id for lobbyist annual registration,Number
Expenses for Lobbyists in Colorado,officialstatelobbyist,"Indicator for official state lobbyist. N = No, Y = Yes",Plain Text
Expenses for Lobbyists in Colorado,expenditurename,Name of expenditure by lobbyist,Plain Text
Expenses for Lobbyists in Colorado,expenditureamount,Amount of expenditure,Number
Expenses for Lobbyists in Colorado,expenditurereceiptdate,Date of expenditure,Date & Time
Expenses for Lobbyists in Colorado,expenditurepurpose,Purpose of expenditure,Plain Text
Expenses for Lobbyists in Colorado,expenditureformediaflag,"Indicator for expenditure used for media purposes (Y = Yes, N = No)",Plain Text
Expenses for Lobbyists in Colorado,reportmonth,Month expenditure reported,Plain Text
Expenses for Lobbyists in Colorado,fiscalyear,Fiscal year expentiture reported,Number
Expenses for Lobbyists in Colorado,reportduedate,Due date for expenditure report. Typically the 15th or 16th of the following month,Date & Time
School Districts in Colorado,lgid,DOLA generated uninque identifier for a school district,Text
School Districts in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
School Districts in Colorado,lgname,Name of school district,Text
School Districts in Colorado,source,Original source where boundary data was collected,Text
School Districts in Colorado,lgtypeid,DOLA generated type code. 99 = School District,Text
School Districts in Colorado,lgstatusid,"DOLA generated status ID code. 1	= Active, 2= Consolidated, 3 = Dissolved, 4 = Multi-county, 5 = Single-county, 6 = Pending Formation, 7 = Pending Dissolution",Text
School Districts in Colorado,abbrev_nam,Abbreviated name of school district,Text
School Districts in Colorado,mail_addre,Mailing address for school district,Text
School Districts in Colorado,alt_addres,Alternate address for school district,Text
School Districts in Colorado,mail_city,City of school district,Text
School Districts in Colorado,mail_state,State of school district,Text
School Districts in Colorado,mail_zip,Zipcode of school district,Text
School Districts in Colorado,url,Website address for school district,Text
School Districts in Colorado,prev_name,Previous name of school district if it was renamed,Text
State Agency Fuel Usage in Colorado,year,Year energy usage was recorded for facility,
State Agency Fuel Usage in Colorado,month,Month energy usage was recorded for facility,
State Agency Fuel Usage in Colorado,department,Name of state agency utilizing the building,
State Agency Fuel Usage in Colorado,buildingName,Name of facility associated with state agency,
State Agency Fuel Usage in Colorado,energyUsage,"Fuel usage. Natural gas reported in dekatherms, oil, propane, and diesel fuel reported in gallons.",
State Agency Fuel Usage in Colorado,energyType,"Type of energy. Natural gas, oil, propane, diesel fuel",
Natural Gas Underground Storage in Colorado 2014,year,Year storage facility was recorded,Number
Natural Gas Underground Storage in Colorado 2014,month,Month storage facility was recorded,Number
Natural Gas Underground Storage in Colorado 2014,reportstate,State of storage facility,Plain Text
Natural Gas Underground Storage in Colorado 2014,gasfieldcode,Unique identifier for gas field,Number
Natural Gas Underground Storage in Colorado 2014,reservoircode,,Number
Natural Gas Underground Storage in Colorado 2014,company_name,Name of company operating storage facility,Plain Text
Natural Gas Underground Storage in Colorado 2014,field_name,Name of gas field,Plain Text
Natural Gas Underground Storage in Colorado 2014,reservoir_name,Name of reservoir where gas is extracted,Plain Text
Natural Gas Underground Storage in Colorado 2014,field_type,Type of gas field,Plain Text
Natural Gas Underground Storage in Colorado 2014,county_name,County where storage facility is located,Plain Text
Natural Gas Underground Storage in Colorado 2014,aga_region,American Gas Association defined region,Plain Text
Natural Gas Underground Storage in Colorado 2014,status,Status of storage facility,Plain Text
Natural Gas Underground Storage in Colorado 2014,workinggascapacity_mcf,Working capacity for storage facility in Mcf (one thousand cubic feet),Number
Natural Gas Underground Storage in Colorado 2014,totalfieldcapacity_mcf,Total capacity of the gas field in Mcf (one thousand cubic feet),Number
Natural Gas Underground Storage in Colorado 2014,maximumdailycapacity_mcf,Maximum capacity per day for the storage facility in Mcf (one thousand cubic feet),Number
Charities Solicitation Notices in Colorado,solicitationnoticeid,Solicitation Notice ID,Number
Charities Solicitation Notices in Colorado,charityname,Charitable Organization Name,Plain Text
Charities Solicitation Notices in Colorado,entityid,Charitable Organization Entity ID,Number
Charities Solicitation Notices in Colorado,solicitorname,Paid Solicitor Name,Plain Text
Charities Solicitation Notices in Colorado,paidsolicitorentityid,Paid Solicitor Entity ID,Number
Charities Solicitation Notices in Colorado,filingtype,"Filing type: Master, Amendment, Renewal",Plain Text
Charities Solicitation Notices in Colorado,documentid,Accounting ID (Solicitation Notice Identification Number),Number
Charities Solicitation Notices in Colorado,amendmententityid,"If filing type is Amendment, then Entity ID of master or renewal record",Number
Charities Solicitation Notices in Colorado,solicitationapproveddate,Date and time at which solicitation notice was approved,Date & Time
Charities Solicitation Notices in Colorado,paymentprocesseddate,Date and time payment was processed,Date & Time
Charities Solicitation Notices in Colorado,campaigncommencementdate,Commencement date of campaign,Date & Time
Charities Solicitation Notices in Colorado,campaignconclusiondate,Conclusion date of campaign,Date & Time
Charities Solicitation Notices in Colorado,charityofficername,Charitable Organization Official first and last name,Plain Text
Charities Solicitation Notices in Colorado,charitysigneddate,Date Charitable Organization Official signed campaign report,Date & Time
Charities Solicitation Notices in Colorado,custodyofcontributions,Will Paid Solicitor ever have custody of contributions?,Checkbox
Charities Solicitation Notices in Colorado,custodyoffinancialrecords,Will Paid Solicitor ever have custody of financial records of contributions?,Checkbox
Charities Solicitation Notices in Colorado,eventcampaigndescription,Description of any event the campaign will lead up to,Plain Text
Charities Solicitation Notices in Colorado,accountingrecordsaddress,{no longer supported} Address where accounting records are kept,Plain Text
Charities Solicitation Notices in Colorado,accountingrecordscity,{no longer supported} City where accounting records are kept,Plain Text
Charities Solicitation Notices in Colorado,accountingrecordsstate,{no longer supported} State where accounting records are kept,Plain Text
Charities Solicitation Notices in Colorado,accountingrecordszipcode,{no longer supported}Zip where accounting records are kept,Number
Charities Solicitation Notices in Colorado,accountingrecordszipcode4,{no longer supported} Zip plus 4 where accounting records are kept,Plain Text
Charities Solicitation Notices in Colorado,financialinstitutiondeposits,Name of financial institution where receipts of campaign are deposited,Plain Text
Charities Solicitation Notices in Colorado,financialinstitutionaddress,Address of financial institution,Plain Text
Charities Solicitation Notices in Colorado,financialinstitutioncity,City of financial institution,Plain Text
Charities Solicitation Notices in Colorado,financialinstitutionstate,State of financial institution,Plain Text
Charities Solicitation Notices in Colorado,financialinstitutionzipcode,Zip of financial institution,Number
Charities Solicitation Notices in Colorado,financialinstitutionzipcode4,"{no longer supported} If nine digit zip code is given, the full code will be listed here",Date & Time
Charities Solicitation Notices in Colorado,administeringwithdrawingcontrol,Does Charitable Organization control administering and withdrawing from the account,Checkbox
Charities Solicitation Notices in Colorado,contracteffectivedate,Effective date of the contract,Date & Time
Charities Solicitation Notices in Colorado,contractterminationdate,Termination date of the contract,Date & Time
Charities Solicitation Notices in Colorado,percentagebasedcontract,Will specified percentage of gross receipts be remitted to charitable organization?,Checkbox
Charities Solicitation Notices in Colorado,minimumpercentageofgrossreceiptsremitted,Minimum percentage of gross receipts remitted to charitable organization,Percent
Charities Solicitation Notices in Colorado,percentageeventpriceremitted,Will percentage of purchase price to event be remitted to the charitable organization?,Checkbox
Charities Solicitation Notices in Colorado,minimumpercentagesaleremitted,Minimum percentage of sale remitted to Charitable Organization,Plain Text
Charities Solicitation Notices in Colorado,specifiedpercentagegrossrevenuereceivedbysolicitor,Specified percentage of gross revenue received by Paid Solicitor,Percent
Charities Solicitation Notices in Colorado,paidsolicitorscompensatedcontingetoncontributions,Is Paid Solicitor's compensation contingent upon number of contributions or amount received,Checkbox
Charities Solicitation Notices in Colorado,percentagegrossrevenuepaidsolicitorcompensation,Percentage of gross revenue constituting Paid Solicitor's compensation,Percent
Charities Solicitation Notices in Colorado,campaignpurpose,Charitable purpose for which the campaign is being conducted,Plain Text
Charities Solicitation Notices in Colorado,respectiveobligations,Respective obligations of Paid Solicitor and Charitable Organization,Plain Text
Charities Solicitation Notices in Colorado,solicitorcompensationassumptions,Assumptions upon which estimate of solicitors compensation is based,Plain Text
Charities Solicitation Notices in Colorado,contractsigner1firstname,First name of the first contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner1lastname,Last name of the first contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner1title,Title of the first contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner1organization,Organization associated with the first contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner2firstname,First name of the second contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner2lastname,Last name of the second contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner2title,Title of the second contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner2organization,Organization associated with the second contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner3firstname,First name of the third contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner3lastname,Last name of the thirdcontract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner3title,Title of the thirdcontract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner3organization,Organization associated with the thirdcontract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner4firstname,First name of the fourth contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner4lastname,Last name of the fourth contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner4title,Title of the fourth contract signer,Plain Text
Charities Solicitation Notices in Colorado,contractsigner4organization,Organization associated with the fourth contract signer,Plain Text
Solar PV Capacity Factor in Colorado 2015,dni,Direct normal irradiance reported in w/m2 (watts per meter squared),Number
Solar PV Capacity Factor in Colorado 2015,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Campaign Reports for Solicitation Notices to Charities in Colorado,solicitationnoticeid,Solicitation Notice ID,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,campaignreportid,Solicitation Notice Campaign Report ID,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,filingtype,"Filing Type: Master, Amendment, Renewal",Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,campaigndatefiled,Date campaign report was filed. Changes from source: Dates changed from MM/DD/YY to YYYY-MM-DD.,Date & Time
Campaign Reports for Solicitation Notices to Charities in Colorado,charityname,Charitable Organization Official first and last name,Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,charitysigneddate,Date Charitable Organization Official signed campaign report. Changes from source: Dates changed from MM/DD/YY to YYYY-MM-DD.,Date & Time
Campaign Reports for Solicitation Notices to Charities in Colorado,solicitorname,Paid Solicitor first and last name,Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,solicitorsigneddate,Date Paid Solicitor signed campaign report. Changes from source: Dates changed from MM/DD/YY to YYYY-MM-DD.,Date & Time
Campaign Reports for Solicitation Notices to Charities in Colorado,grosscontributions,Gross proceeds; contributions,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,grossticketsales,Gross proceeds: ticket sales,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,grossadvertisingsales,Gross proceeds: advertising sales,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,grossinkind,Grossproceeds: in kind,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,grosstotal,Total of gross proceeds columns,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,inkinddescription,Description of in-kind proceeds,Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,grossother,Gross proceeds: other revenue,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expensesalarycommision,Expenses: salaries and commissions,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expenseprinting,Expenses: printing of solicitation materials,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expensepostage,Expenses: postage,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expensetelephone,Expenses: telephone,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expenseofficerental,Expenses: office rental,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expenseofficeexpenses,Expenses: office expenses,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expensetotal,Total of all expense columns,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expenseauditoriumrental,Direct event expenses: auditorium rental,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expenseeventfee,Direct event expenses: show fee for performers,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expenseeventprinting,Direct event expenses: printing costs for tickets and program books,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,expenseeventother,Direct event expenses: other expenses,Number
Campaign Reports for Solicitation Notices to Charities in Colorado,proceedsnet,Net proceeds to charity (gross proceeds minus expenses + direct event expenses),Number
Campaign Reports for Solicitation Notices to Charities in Colorado,proceedspercenttocharity,Percentage of proceeds to charity (net charity divided by (expenses + direct even expenses X 100)),Number
Campaign Reports for Solicitation Notices to Charities in Colorado,isfinanciallocalonly,Does financial information reflect solicitation activity in Colorado only or nationally?,Checkbox
Campaign Reports for Solicitation Notices to Charities in Colorado,bookkeeper,Person who is caretaker of books and records,Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,bookkeeperaddress,Address of bookkeeper,Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,bookkeepercity,"City of bookkeeper. Changes from source: ran reconciliation algorithm to modify city name variations (resulting from manual data entry) to full standard (ie Colo Spg to Colorado Springs, etc).",Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,bookkeeperstate,State of bookkeeper,Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,bookkeeperzipcode,Zip of bookkeeper,Plain Text
Campaign Reports for Solicitation Notices to Charities in Colorado,activityflag,Activity exclusive to Colorado. Changes from source: ‘Y’s changed to 1’ and ‘N’s changed to 0’.,Checkbox
Campaign Reports for Solicitation Notices to Charities in Colorado,comments,Comments,Plain Text
Retail Reports by Industry in Colorado,month,The month code that the data was gathered (eg 01 is January),Number
Retail Reports by Industry in Colorado,year,The year that the data was gathered,Number
Retail Reports by Industry in Colorado,fips,"The county fips code, added after export from database using county name and lookup table",Number
Retail Reports by Industry in Colorado,county,The name of the county (eg Jefferson),Plain Text
Retail Reports by Industry in Colorado,agriculture,The amount of retail sold in the agriculture industry,Number
Retail Reports by Industry in Colorado,mining,"The amount of retail sold in the Mining, Quarrying, and Oil and Gas Extraction industry",Number
Retail Reports by Industry in Colorado,utilities,The amount of retail sold in the Utilities industry,Number
Retail Reports by Industry in Colorado,construction,The amount of retail sold in the Construction industry,Number
Retail Reports by Industry in Colorado,manufacturing,The amount of retail sold in the Manufacturing industry,Number
Retail Reports by Industry in Colorado,wholesale,The amount of retail sold in the Wholesale Trade industry,Number
Retail Reports by Industry in Colorado,mvparts,The amount of retail sold in the ? industry,Number
Retail Reports by Industry in Colorado,furniture,The amount of retail sold in the Furniture industry,Number
Retail Reports by Industry in Colorado,electappl,The amount of retail sold in the Electricity industry,Number
Retail Reports by Industry in Colorado,bldgnursery,The amount of retail sold in the Building and Nursery industry,Number
Retail Reports by Industry in Colorado,foodbeverage,The amount of retail sold in the Food and Beverage industry,Number
Retail Reports by Industry in Colorado,healthcare,The amount of retail sold in the Health Care industry,Number
Retail Reports by Industry in Colorado,gasstations,The amount of retail sold in the Gas Station industry,Number
Retail Reports by Industry in Colorado,clothing,The amount of retail sold in the Clothing industry,Number
Retail Reports by Industry in Colorado,sportshobbies,The amount of retail sold in the Sports and Hobbies industry,Number
Retail Reports by Industry in Colorado,genmerchandise,The amount of retail sold in the General Merchandise industry,Number
Retail Reports by Industry in Colorado,miscstores,The amount of retail sold in the Miscellaneous Stores industry,Number
Retail Reports by Industry in Colorado,nonstore,The amount of retail sold in the Not Store industry,Number
Retail Reports by Industry in Colorado,transwrhse,The amount of retail sold in the Transportation and Warehousing industry,Number
Retail Reports by Industry in Colorado,information,The amount of retail sold in the Information industry,Number
Retail Reports by Industry in Colorado,financialinsurance,The amount of retail sold in the Finance and Insurance industry,Number
Retail Reports by Industry in Colorado,realestate,"The amount of retail sold in the Real Estate, Rental, and Leasing industry",Number
Retail Reports by Industry in Colorado,professionaltechnical,"The amount of retail sold in the Professional, Scientific, and Technical Services industry",Number
Retail Reports by Industry in Colorado,adsuppwstmngmremserv,The amount of retail sold in the Administrative and Support and Waste Management and Remediation Services industry,Number
Retail Reports by Industry in Colorado,education,The amount of retail sold in the Education industry,Number
Retail Reports by Industry in Colorado,health,The amount of retail sold in the Health Care and Social Assistance industry,Number
Retail Reports by Industry in Colorado,artsentertainment,"The amount of retail sold in the Arts, Entertainment, and Recreation industry",Number
Retail Reports by Industry in Colorado,lodging,The amount of retail sold in the Accommodation industry,Number
Retail Reports by Industry in Colorado,foodservices,The amount of retail sold in the Food Services industry,Number
Retail Reports by Industry in Colorado,otherservices,The amount of retail sold in the Other Services industry,Number
Retail Reports by Industry in Colorado,government,The amount of retail sold in the Public Administration industry,Number
Retail Reports by Industry in Colorado,retailtrades,The amount of retail traded (?),Number
Retail Reports by Industry in Colorado,allindustries,The amount of retail sold in all industries,Number
Retail Reports by Industry in Colorado,month,The month code that the data was gathered (eg 01 is January),Number
Retail Reports by Industry in Colorado,year,The year that the data was gathered,Number
Retail Reports by Industry in Colorado,fips,"The county fips code, added after export from database using county name and lookup table",Number
Retail Reports by Industry in Colorado,county,The name of the county (eg Jefferson),Plain Text
Retail Reports by Industry in Colorado,agriculture,The amount of retail sold in the agriculture industry,Number
Retail Reports by Industry in Colorado,mining,"The amount of retail sold in the Mining, Quarrying, and Oil and Gas Extraction industry",Number
Retail Reports by Industry in Colorado,utilities,The amount of retail sold in the Utilities industry,Number
Retail Reports by Industry in Colorado,construction,The amount of retail sold in the Construction industry,Number
Retail Reports by Industry in Colorado,manufacturing,The amount of retail sold in the Manufacturing industry,Number
Retail Reports by Industry in Colorado,wholesale,The amount of retail sold in the Wholesale Trade industry,Number
Retail Reports by Industry in Colorado,mvparts,The amount of retail sold in the ? industry,Number
Retail Reports by Industry in Colorado,furniture,The amount of retail sold in the Furniture industry,Number
Retail Reports by Industry in Colorado,electappl,The amount of retail sold in the Electricity industry,Number
Retail Reports by Industry in Colorado,bldgnursery,The amount of retail sold in the Building and Nursery industry,Number
Retail Reports by Industry in Colorado,foodbeverage,The amount of retail sold in the Food and Beverage industry,Number
Retail Reports by Industry in Colorado,healthcare,The amount of retail sold in the Health Care industry,Number
Retail Reports by Industry in Colorado,gasstations,The amount of retail sold in the Gas Station industry,Number
Retail Reports by Industry in Colorado,clothing,The amount of retail sold in the Clothing industry,Number
Retail Reports by Industry in Colorado,sportshobbies,The amount of retail sold in the Sports and Hobbies industry,Number
Retail Reports by Industry in Colorado,genmerchandise,The amount of retail sold in the General Merchandise industry,Number
Retail Reports by Industry in Colorado,miscstores,The amount of retail sold in the Miscellaneous Stores industry,Number
Retail Reports by Industry in Colorado,nonstore,The amount of retail sold in the Not Store industry,Number
Retail Reports by Industry in Colorado,transwrhse,The amount of retail sold in the Transportation and Warehousing industry,Number
Retail Reports by Industry in Colorado,information,The amount of retail sold in the Information industry,Number
Retail Reports by Industry in Colorado,financialinsurance,The amount of retail sold in the Finance and Insurance industry,Number
Retail Reports by Industry in Colorado,realestate,"The amount of retail sold in the Real Estate, Rental, and Leasing industry",Number
Retail Reports by Industry in Colorado,professionaltechnical,"The amount of retail sold in the Professional, Scientific, and Technical Services industry",Number
Retail Reports by Industry in Colorado,adsuppwstmngmremserv,The amount of retail sold in the Administrative and Support and Waste Management and Remediation Services industry,Number
Retail Reports by Industry in Colorado,education,The amount of retail sold in the Education industry,Number
Retail Reports by Industry in Colorado,health,The amount of retail sold in the Health Care and Social Assistance industry,Number
Retail Reports by Industry in Colorado,artsentertainment,"The amount of retail sold in the Arts, Entertainment, and Recreation industry",Number
Retail Reports by Industry in Colorado,lodging,The amount of retail sold in the Accommodation industry,Number
Retail Reports by Industry in Colorado,foodservices,The amount of retail sold in the Food Services industry,Number
Retail Reports by Industry in Colorado,otherservices,The amount of retail sold in the Other Services industry,Number
Retail Reports by Industry in Colorado,government,The amount of retail sold in the Public Administration industry,Number
Retail Reports by Industry in Colorado,retailtrades,The amount of retail traded (?),Number
Retail Reports by Industry in Colorado,allindustries,The amount of retail sold in all industries,Number
Weather Station in San Luis Valley Colorado 2009,date,The date and time the data was recorded ( eg 02/20/2010 10:30),Date & Time
Weather Station in San Luis Valley Colorado 2009,globalhorizontal,"Total Hemispheric shortwave irradiance as measured by an Kipp & Zonen Model CMP22 with calibration factor traceable to the World Radiometric Reference (WRR), measured in W/m2",Number
Weather Station in San Luis Valley Colorado 2009,directnormal,"Direct (Beam) shortwave irradiance as measured by a Kipp & Zonen Model CH1 mounted in an automatic sun-following tracker (Model 2AP) with calibration factor traceable to the World Radiometric Reference (WRR), measured in W/m2",Number
Weather Station in San Luis Valley Colorado 2009,diffusehorizontal,"Diffuse (Sky) shortwave irradiance, measured in W/m2",Number
Weather Station in San Luis Valley Colorado 2009,airtemperature,"The air temperature, measured in degrees Celsius",Number
Weather Station in San Luis Valley Colorado 2009,stationpressure,"The barometric pressure at the station, measured in mBar",Number
Weather Station in San Luis Valley Colorado 2009,avgwindspeed10m,"The average wind speed over that minute, measured at 10 meters in m/s.",Number
Weather Station in San Luis Valley Colorado 2009,avgwinddirection10m,"The average wind direction over that minute, measured at 10 meters in degrees from north.",Number
Weather Station in San Luis Valley Colorado 2009,peakwindspeed10m,"The highest value of wind speed over that minute, in m/s",Number
Weather Station in San Luis Valley Colorado 2009,zenithangle,"Solar zenith angle (refracted), measured in degrees.",Number
Weather Station in San Luis Valley Colorado 2009,azimuthangle,"Solar azimuth angle, measured in degrees.",Number
Weather Station in San Luis Valley Colorado 2009,relhumidity,"The relative humidity, as a percentage (eg 86.3)",Number
Weather Station in San Luis Valley Colorado 2009,precipitation,"The amount of precipitation to fall during that minute, measured in mm",Number
Weather Station in San Luis Valley Colorado 2009,precipitationaccumulated,"The amount of precipitation to fall during that day up to that minute, measured in mm",Number
Weather Station in San Luis Valley Colorado 2009,airmass,The airmass (pressure corrected) calculated,Number
Soil Districts in Colorado,source,Original source where boundary data was collected,Text
Soil Districts in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Soil Districts in Colorado,lgid,DOLA generated uninque identifier for a soil district,Text
Soil Districts in Colorado,lgname,Name of soil district,Text
Soil Districts in Colorado,lgtypeid,DOLA generated type code. 20 = Conservation (soil) District,Text
Soil Districts in Colorado,lgstatusid,"DOLA generated status ID code. 1	= Active, 2= Consolidated, 3 = Dissolved, 4 = Multi-county, 5 = Single-county, 6 = Pending Formation, 7 = Pending Dissolution",Text
Soil Districts in Colorado,abbrev_nam,Abbreviated name of soil district,Text
Soil Districts in Colorado,mail_addre,Mailing address for soil district,Text
Soil Districts in Colorado,alt_addres,Alternate address for soil district,Text
Soil Districts in Colorado,mail_city,City of soil district,Text
Soil Districts in Colorado,mail_state,State of soil district,Text
Soil Districts in Colorado,mail_zip,Zipcode of soil district,Text
Soil Districts in Colorado,url,Website address for soil district,Text
Soil Districts in Colorado,prev_name,Previous name of soil district if it was renamed,Text
Biomethane Potential in Colorado 2014,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Biomethane Potential in Colorado 2014,fips,The unique county FIPS code,Number
Biomethane Potential in Colorado 2014,amch4t,"Methane generation potential from animal manure (in metric tons/year). The following animal types were included in this analysis: dairy cows, hogs, and chickens (broilers). The methane generation potential was calculated by animal type and manure management system at county level using data from the USDA, National Agricultural Statistics Service, 2007 Census.",Text
Biomethane Potential in Colorado 2014,lfgch4t,"Methane emissions from landfills (in metric tons/year). The methane emissions are estimated at each landfill considering total waste in place, status (open or closed), and waste acceptance rate using data from EPA's EMOP database (as of April 2013), and then aggregated to county level. Note: this analysis includes ""candidate"" landfills only. EPA's Landfill Methane Outreach Program (LMOP) defines a candidate landfill as one that is accepting waste or has been closed for five years or less, has at least one million tons of waste, and does not have an operational or under-construction project; candidate landfills are also designated based on actual interest or planning.",Text
Biomethane Potential in Colorado 2014,name,Name of the county,Text
Biomethane Potential in Colorado 2014,objectid,Unique identifier (auto-generated),Number
